STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,1591,1395,841,701,593,474
Barneveld Centrum,AEW,713,703,309,307,189,162
Barneveld Noord,AEW,229,225,79,85,65,48
Barneveld Zuid,AEW,193,188,82,80,45,40
Ede Centrum,AEW,283,278,229,225,109,113
Ede-Wageningen,AEW,657,632,379,347,234,315
Hoevelaken,AEW,264,256,111,120,78,64
Lunteren,AEW,208,204,145,143,83,76
Delden,TZUHO,401,391,189,174,143,105
Goor,TZUHO,1017,1014,287,271,250,151
Hengelo,TZUHO,2938,3124,984,1041,616,935
Hengelo Gezondheidspark,TZUHO,366,234,105,66,77,41
Hengelo Oost,TZUHO,205,170,108,89,70,61
Lochem,TZUHO,608,609,213,224,235,135
Oldenzaal,TZUHO,1311,1288,356,329,382,202
Zutphen,TZUHO,1548,1563,755,804,599,743
Almelo,TZWEN,2755,2844,568,670,502,480
Almelo de Riet,TZWEN,583,536,185,150,127,112
Borne,TZWEN,1054,1068,431,404,393,287
Enschede,TZWEN,4166,4160,1422,1195,940,1202
Enschede Kennispark,TZWEN,1111,1050,401,282,469,754
Heino,TZWEN,409,409,146,140,131,97
Hengelo,TZWEN,3688,3792,1006,1306,1017,804
Nijverdal,TZWEN,1706,1700,439,441,395,283
Raalte,TZWEN,1326,1357,337,323,291,193
Wierden,TZWEN,970,886,271,295,230,161
Zwolle,TZWEN,4271,4238,1507,1506,1384,1504
Kampen,TZWKA,2520,2455,807,719,488,379
Zwolle,TZWKA,2455,2520,719,807,379,488
