STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
-,0,0,0,0,0,0
Aalten,554,544,249,259,193,136
Almelo,2346,2535,849,956,692,751
Almelo de Riet,345,313,146,132,100,96
Amersfoort Centraal,1965,1968,1179,1187,827,793
Apeldoorn,1085,1055,726,625,580,592
Apeldoorn De Maten,213,204,101,96,82,66
Apeldoorn Osseveld,0,0,0,0,0,0
Arnhem Centraal,4954,4724,3077,3060,1959,2368
Arnhem Velperpoort,1173,1373,675,682,453,454
Arnhem Zuid,0,0,0,0,0,0
Assen,0,0,0,0,0,0
Barneveld Centrum,852,884,383,383,224,209
Barneveld Noord,287,287,121,124,87,68
Barneveld Zuid,221,221,104,103,56,55
Borne,625,629,368,385,332,257
Coevorden,654,661,346,345,260,219
Daarlerveen,59,57,19,16,15,13
Dalen,100,97,59,61,49,36
Dalfsen,564,576,350,355,283,227
Delden,253,252,164,160,140,107
Deventer,0,0,0,0,0,0
Didam,755,734,392,372,261,225
Dieren,0,0,0,0,0,0
Doetinchem,1826,1880,853,906,597,520
Doetinchem De Huet,596,589,296,298,222,182
Duiven,1076,1030,718,662,438,398
Ede Centrum,296,304,245,260,123,132
Ede-Wageningen,747,694,419,387,272,343
Elst,555,707,238,295,153,206
Emmen,851,873,585,634,514,485
Emmen Zuid,325,320,172,181,164,135
Enschede,2918,2984,1703,1491,1151,1326
Enschede De Eschmarke,20,20,5,4,3,5
Enschede Kennispark,696,671,460,399,381,589
Gaanderen,205,199,156,148,106,90
Glanerburg,77,72,39,33,32,23
Goor,636,616,294,269,235,173
Gramsbergen,112,110,72,75,55,40
Gronau,49,51,40,43,18,18
Hardenberg,1294,1314,524,553,458,381
Heino,262,270,176,183,146,122
Hemmen-Dodewaard,53,51,24,21,16,15
Hengelo,4485,4535,2258,2476,1885,1961
Hengelo Gezondheidspark,139,140,66,66,56,54
Hengelo Oost,155,130,110,96,75,74
Hoevelaken,345,343,151,157,103,100
Kampen,1492,1437,801,776,523,457
Kesteren,278,272,111,108,65,82
Klarenbeek,67,67,41,41,40,33
Lichtenvoorde-Groenlo,396,416,232,288,289,201
Lochem,421,424,225,233,216,156
Lunteren,208,216,156,154,93,83
Nieuw Amsterdam,239,242,139,150,130,99
Nijmegen,0,15,0,18,0,10
Nijverdal,1125,1152,474,495,396,323
Oldenzaal,827,806,360,372,386,269
Ommen,728,746,412,435,395,274
Oosterbeek,0,0,0,0,0,0
Opheusden,132,130,56,50,33,29
Raalte,850,881,356,369,286,236
Ruurlo,381,377,220,232,225,150
Terborg,309,300,176,183,138,106
Tiel,472,491,254,270,186,153
Varsseveld,329,324,184,192,133,108
Voorst-Empe,103,103,39,40,35,32
Vorden,380,398,203,233,193,166
Vriezenveen,189,186,65,57,45,37
Vroomshoop,253,242,87,77,63,51
Wehl,316,313,174,173,125,99
Westervoort,513,481,314,283,205,193
Wierden,614,591,298,318,252,187
Winterswijk,912,898,509,526,400,338
Winterswijk West,135,142,61,73,72,54
Zetten-Andelst,274,260,163,150,106,96
Zevenaar,1382,1337,765,735,505,451
Zutphen,3500,3475,2044,2020,1726,1952
Zwolle,8233,7977,4882,4680,3647,4244
Zwolle Stadshagen,458,464,258,235,191,166
