STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,325,325,135,135,113,113
Almelo,1454,1603,514,588,358,367
Almelo de Riet,256,235,109,99,64,63
Amersfoort Centraal,338641,296826,35262,29374,29956,23956
Apeldoorn,395,395,299,299,216,216
Apeldoorn De Maten,140,140,76,76,57,57
Arnhem,2699,2699,1532,1532,980,980
Arnhem Velperpoort,712,712,362,362,216,216
Barneveld Centrum,151761,149766,12964,12870,9541,8198
Barneveld Noord,48824,47966,3344,3587,3254,2426
Barneveld Zuid,41082,40069,3424,3350,2302,2015
Borne,417,419,236,245,188,129
Coevorden,424,424,175,175,126,126
Daarlerveen,36,36,11,11,8,8
Dalen,60,60,27,27,22,22
Dalfsen,300,300,176,176,132,132
Delden,169,171,95,96,66,46
Didam,485,485,222,222,155,155
Doetinchem,1140,1140,461,461,322,322
Doetinchem De Huet,365,365,165,165,133,133
Duiven,633,633,393,393,252,252
Ede Centrum,60205,59107,9585,9417,5515,5711
Ede-Wageningen,139941,134582,15946,14581,11783,15775
Elst,311,311,105,105,71,71
Emmen,523,523,276,276,221,221
Emmen Zuid,177,177,75,75,73,73
Enschede,1788,1760,898,813,523,699
Enschede De Eschmarke,10,13,4,3,1,2
Enschede Kennispark,408,361,288,254,106,240
Gaanderen,132,132,80,80,56,56
Glanerburg,49,43,24,21,14,12
Goor,423,423,171,179,136,84
Gramsbergen,69,69,33,33,24,24
Hardenberg,741,741,275,275,235,235
Heino,163,165,86,89,64,51
Hemmen-Dodewaard,37,37,13,13,9,9
Hengelo,2922,2945,1380,1420,1005,977
Hengelo Gezondheidspark,158,124,56,45,41,31
Hengelo Oost,115,101,76,68,44,42
Hoevelaken,56088,54520,4629,5044,3936,3238
Kampen,1053,1030,469,453,315,255
Kesteren,163,163,47,47,31,31
Klarenbeek,49,49,28,28,20,20
Lichtenvoorde-Groenlo,256,256,118,118,155,155
Lochem,259,262,125,143,126,77
Lunteren,44252,43489,6071,6023,4195,3857
Mariënberg,298,298,169,169,131,131
Nieuw Amsterdam,151,151,67,67,63,63
Nijverdal,709,704,270,280,203,145
Oldenzaal,552,550,214,238,207,132
Ommen,381,381,209,209,179,179
Opheusden,102,102,34,34,18,18
Raalte,539,554,194,210,159,123
Ruurlo,206,206,112,112,119,119
Terborg,194,194,89,89,82,82
Tiel,287,287,101,101,83,83
Varsseveld,218,218,102,102,85,85
Voorst-Empe,72,72,35,35,27,27
Vorden,204,204,108,108,100,100
Vriezenveen,116,116,38,38,21,21
Vroomshoop,157,157,56,56,34,34
Wehl,192,192,94,94,71,71
Westervoort,312,312,157,157,93,93
Wierden,371,336,164,160,113,77
Winterswijk,574,574,269,269,211,211
Winterswijk West,94,94,36,36,41,41
Zetten-Andelst,168,168,68,68,57,57
Zevenaar,791,791,410,410,273,273
Zutphen,1856,1861,1176,1157,863,924
Zwolle,4331,4342,2065,2059,1488,1619
Zwolle Stadshagen,217,218,112,102,76,62
