STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,2755,2844,568,670,502,480
Almelo de Riet,583,536,185,150,127,112
Amersfoort Centraal,1591,1394,841,700,593,473
Barneveld Centrum,712,703,308,306,189,162
Barneveld Noord,229,225,79,85,64,48
Barneveld Zuid,192,188,81,80,45,39
Borne,1054,1068,431,404,393,287
Delden,401,391,189,174,143,105
Ede Centrum,282,277,228,225,108,112
Ede-Wageningen,657,632,379,346,234,314
Enschede,4166,4160,1422,1195,940,1202
Enschede Kennispark,1111,1050,401,282,469,754
Goor,1017,1014,287,271,250,151
Heino,409,409,146,140,131,97
Hengelo,6626,6916,1990,2347,1633,1739
Hengelo Gezondheidspark,366,234,105,66,77,41
Hengelo Oost,205,170,108,89,70,61
Hoevelaken,263,256,110,120,77,63
Kampen,2520,2455,807,719,488,379
Lochem,608,609,213,224,235,135
Lunteren,207,204,144,143,83,76
Nijverdal,1706,1700,439,441,395,283
Oldenzaal,1311,1288,356,329,382,202
Raalte,1326,1357,337,323,291,193
Wierden,970,886,271,295,230,161
Zutphen,1548,1563,755,804,599,743
Zwolle,6726,6758,2226,2313,1763,1992
